city,datetime,temp,conditions
Victoria,2025-01-18,1.3,Partially cloudy
Victoria,2025-01-19,-0.1,Overcast
Victoria,2025-01-20,-4.6,Partially cloudy
Coquitlam,2025-01-07,2.3,"Rain, Partially cloudy"
Coquitlam,2025-01-08,6.2,"Rain, Partially cloudy"
Coquitlam,2025-01-09,6.3,"Rain, Partially cloudy"
Coquitlam,2025-01-10,6.1,"Rain, Partially cloudy"
Coquitlam,2025-01-11,4.9,Partially cloudy
Coquitlam,2025-01-12,3.6,Partially cloudy
Coquitlam,2025-01-13,3.1,Partially cloudy
Coquitlam,2025-01-14,-0.5,Partially cloudy
Coquitlam,2025-01-15,-0.8,Partially cloudy
Coquitlam,2025-01-16,-1.2,"Snow, Rain, Partially cloudy"
Coquitlam,2025-01-17,-2.5,"Snow, Rain, Partially cloudy"
Coquitlam,2025-01-18,-3.6,Overcast
Coquitlam,2025-01-19,-5.3,Partially cloudy
Coquitlam,2025-01-20,-13.7,Clear
Kelowna,2025-01-07,2.2,Overcast
Kelowna,2025-01-08,3.2,Partially cloudy
Kelowna,2025-01-09,2.3,Partially cloudy
Kelowna,2025-01-10,3.5,"Rain, Partially cloudy"
Kelowna,2025-01-11,2.4,Partially cloudy
Kelowna,2025-01-12,1.2,Partially cloudy
Kelowna,2025-01-13,0.4,Partially cloudy
Kelowna,2025-01-14,-4.2,Partially cloudy
Kelowna,2025-01-15,-3.7,Partially cloudy
Kelowna,2025-01-16,-3.0,"Snow, Partially cloudy"
Kelowna,2025-01-17,-5.2,"Snow, Rain, Partially cloudy"
Kelowna,2025-01-18,-7.9,"Snow, Partially cloudy"
Kelowna,2025-01-19,-8.7,Partially cloudy
Kelowna,2025-01-20,-18.5,Partially cloudy
Prince George,2025-01-07,0.4,"Snow, Rain, Overcast"
Prince George,2025-01-08,-0.6,"Snow, Rain, Partially cloudy"
Prince George,2025-01-09,-0.8,"Snow, Rain, Partially cloudy"
Prince George,2025-01-10,0.2,"Snow, Rain, Partially cloudy"
Prince George,2025-01-11,-3.6,Partially cloudy
Prince George,2025-01-12,-5.5,Partially cloudy
Prince George,2025-01-13,-5.4,Partially cloudy
Prince George,2025-01-14,0.0,Overcast
Prince George,2025-01-15,-3.3,Overcast
Prince George,2025-01-16,-1.7,"Snow, Rain, Overcast"
Prince George,2025-01-17,-6.4,Partially cloudy
Prince George,2025-01-18,-11.9,Overcast
Prince George,2025-01-19,-17.3,Partially cloudy
Prince George,2025-01-20,-29.5,Clear
Kamloops,2025-01-07,2.1,Partially cloudy
Kamloops,2025-01-08,1.2,Partially cloudy
Kamloops,2025-01-09,1.2,Partially cloudy
Kamloops,2025-01-10,2.4,"Snow, Rain, Partially cloudy"
Kamloops,2025-01-11,0.0,Partially cloudy
Kamloops,2025-01-12,-0.5,Partially cloudy
Kamloops,2025-01-13,-0.8,Partially cloudy
Kamloops,2025-01-14,-4.8,Partially cloudy
Kamloops,2025-01-15,-4.7,Partially cloudy
Kamloops,2025-01-16,-2.9,"Snow, Rain, Partially cloudy"
Kamloops,2025-01-17,-6.6,Partially cloudy
Kamloops,2025-01-18,-10.8,Overcast
Kamloops,2025-01-19,-10.3,Partially cloudy
Kamloops,2025-01-20,-20.6,Partially cloudy
